0001	Los Angeles	8100001	125555	Pipe	16.25	10
0001	Los Angeles	8100001	125556	Pipe	16.25	10
0001	Los Angeles	8100002	125557	Nut	20.35	5
0001	Los Angeles	8100003	125558	Bolt	24.45	5
0001	Los Angeles	8100004	125559	Pipe	28.55	3
0001	Los Angeles	8100005	125560	Nut	32.65	3
0001	Los Angeles	8100006	125561	Bolt	36.75	4
0001	Los Angeles	8100007	125562	Pipe	40.85	10
0001	Los Angeles	8100008	125563	Nut	44.95	5
0003	Seattle	8100018	125564	Bolt	49.05	5
0003	Seattle	8100018	125565	Pipe	53.15	3
0003	Seattle	8100018	125566	Nut	16.25	3
0003	Seattle	8100019	125567	Bolt	16.25	4
0003	Seattle	8100020	125568	Pipe	20.35	10
0003	Seattle	8100021	125569	Nut	24.45	5
0003	Seattle	8100021	125570	Bolt	28.55	5
0003	Seattle	8100021	125571	Pipe	24.45	3
0003	Seattle	8100021	125572	Nut	28.55	3
0003	Seattle	8100021	125573	Bolt	20.35	4
